Wavelength (nm),microAmps (mA)
656.0725,0.40142
656.0726,0.40169
656.0727,0.4015
656.0728,0.40166
656.0729,0.4016
656.073,0.4016
656.0731,0.40162
656.0732,0.40154
656.0733,0.40166
656.0734,0.40164
656.0735,0.40154
656.0736,0.40166
656.0737,0.40154
656.0738,0.40169
656.0739,0.40185
656.074,0.40156
656.0741,0.40158
656.0742,0.40164
656.0743,0.40148
656.0744,0.40166
656.0745,0.40162
656.0746,0.40148
656.0747,0.40173
656.0748,0.40166
656.0749,0.4016
656.075,0.40156
656.0751,0.40154
656.0752,0.4015
656.0753,0.40166
656.0754,0.40164
656.0755,0.40166
656.0756,0.40158
656.0757,0.40162
656.0758,0.40162
656.0759,0.40156
656.076,0.40171
656.0761,0.40166
656.0762,0.40185
656.0763,0.40171
656.0764,0.40146
656.0765,0.40152
656.0766,0.40154
656.0767,0.40179
656.0768,0.40162
656.0769,0.40154
656.077,0.40154
656.0771,0.40173
656.0772,0.40166
656.0773,0.40166
656.0774,0.40166
656.0775,0.4016
656.0776,0.40142
656.0777,0.4015
656.0778,0.40148
656.0779,0.40154
656.078,0.40166
656.0781,0.40171
656.0782,0.40148
656.0783,0.4016
656.0784,0.40156
656.0785,0.40179
656.0786,0.40158
656.0787,0.40156
656.0788,0.40154
656.0789,0.40148
656.079,0.4016
656.0791,0.40169
656.0792,0.40152
656.0793,0.40156
656.0794,0.40154
656.0795,0.40146
656.0796,0.40156
656.0797,0.40169
656.0798,0.4015
656.0799,0.40156
656.08,0.40156
