wavelength (nm),microAmps (mA)
433.8654,0.40104
433.8655,0.40108
433.8656,0.40103
433.8657,0.40103
433.8658,0.4011
433.8659,0.401
433.866,0.40107
433.8661,0.40111
433.8662,0.40106
433.8663,0.4011
433.8664,0.4011
433.8665,0.40103
433.8666,0.40095
433.8667,0.40099
433.8668,0.401
433.8669,0.40098
433.867,0.40101
433.8671,0.40108
433.8672,0.40099
433.8673,0.40101
433.8674,0.40107
433.8675,0.40106
433.8676,0.40102
433.8677,0.401
433.8678,0.401
433.8679,0.40105
433.868,0.40101
433.8681,0.40103
433.8682,0.40103
433.8683,0.40104
433.8684,0.40104
433.8685,0.40099
433.8686,0.40109
433.8687,0.4011
433.8688,0.40105
433.8689,0.40104
433.869,0.40103
433.8691,0.40104
433.8692,0.40097
433.8693,0.40099
433.8694,0.40106
433.8695,0.40108
433.8696,0.40109
433.8697,0.40107
433.8698,0.40108
433.8699,0.40102
433.87,0.40107
433.8701,0.40102
433.8702,0.40105
433.8703,0.40104
433.8704,0.40105
433.8705,0.40097
433.8706,0.40103
433.8707,0.40103
433.8708,0.40098
433.8709,0.40101
433.871,0.40107
433.8711,0.40104
433.8712,0.40102
433.8713,0.40099
433.8714,0.401
433.8715,0.40097
433.8716,0.40099
433.8717,0.40104
433.8718,0.40099
433.8719,0.40097
433.872,0.40102
433.8721,0.40103
433.8722,0.40104
433.8723,0.40109
433.8724,0.40106
433.8725,0.40105
433.8726,0.40107
433.8727,0.40102
433.8728,0.40105
433.8729,0.4011
433.873,0.40102
433.8731,0.40104
433.8732,0.401
433.8733,0.40104
433.8734,0.40103
433.8735,0.40105
433.8736,0.40108
433.8737,0.40103
433.8738,0.40105
433.8739,0.40105
433.874,0.40104
433.8741,0.40103
433.8742,0.40107
433.8743,0.40106
433.8744,0.40099
433.8745,0.40107
433.8746,0.40101
433.8747,0.40113
433.8748,0.40101
433.8749,0.40101
433.875,0.401
433.8751,0.40097
433.8752,0.40105
433.8753,0.40101
433.8754,0.40106
433.8755,0.40097
433.8756,0.40097
433.8757,0.401
433.8758,0.40099
433.8759,0.40102
433.876,0.40098
433.8761,0.40102
433.8762,0.40106
433.8763,0.401
433.8764,0.40101
433.8765,0.40106
433.8766,0.40103
433.8767,0.40104
433.8768,0.40108
433.8769,0.40104
433.877,0.40104
433.8771,0.40106
433.8772,0.40107
433.8773,0.40108
433.8774,0.40104
433.8775,0.40108
433.8776,0.4011
433.8777,0.401
433.8778,0.40102
433.8779,0.40109
433.878,0.40101
433.8781,0.40107
433.8782,0.40106
433.8783,0.40103
433.8784,0.40107
433.8785,0.40105
433.8786,0.40104
433.8787,0.40104
433.8788,0.40101
433.8789,0.40098
433.879,0.40109
433.8791,0.40096
433.8792,0.40097
433.8793,0.40105
433.8794,0.40102
433.8795,0.40102
433.8796,0.401
433.8797,0.40101
433.8798,0.40111
433.8799,0.40099
433.88,0.40094
433.8801,0.40103
433.8802,0.40097
433.8803,0.40102
433.8804,0.40105
433.8805,0.40108
433.8806,0.40097
433.8807,0.40105
433.8808,0.401
433.8809,0.40103
433.881,0.40102
433.8811,0.40108
433.8812,0.40099
433.8813,0.40103
433.8814,0.4011
433.8815,0.40107
433.8816,0.40096
433.8817,0.40099
433.8818,0.401
433.8819,0.40101
433.882,0.40102
433.8821,0.40104
433.8822,0.40103
433.8823,0.40106
433.8824,0.401
433.8825,0.40103
433.8826,0.40097
433.8827,0.40103
433.8828,0.40098
433.8829,0.40102
433.883,0.40102
433.8831,0.40099
433.8832,0.40096
433.8833,0.40108
433.8834,0.40107
433.8835,0.40106
433.8836,0.40102
433.8837,0.40102
433.8838,0.40103
433.8839,0.40105
433.884,0.40097
433.8841,0.40105
433.8842,0.40108
433.8843,0.40104
433.8844,0.40101
433.8845,0.40097
433.8846,0.40104
433.8847,0.40103
433.8848,0.40101
433.8849,0.40108
433.885,0.40099
433.8851,0.40101
433.8852,0.40103
433.8853,0.40098
433.8854,0.40103
433.8855,0.40099
433.8856,0.401
433.8857,0.40101
433.8858,0.40102
433.8859,0.40103
433.886,0.40101
433.8861,0.40096
433.8862,0.40102
433.8863,0.40109
433.8864,0.40104
433.8865,0.40104
433.8866,0.40099
433.8867,0.40104
433.8868,0.401
433.8869,0.40098
433.887,0.40104
433.8871,0.40107
433.8872,0.40105
433.8873,0.40106
433.8874,0.40111
433.8875,0.40106
433.8876,0.40102
433.8877,0.40105
433.8878,0.40099
433.8879,0.40102
433.888,0.40106
433.8881,0.40102
433.8882,0.40109
433.8883,0.40108
433.8884,0.401
433.8885,0.40108
433.8886,0.40111
433.8887,0.40103
433.8888,0.40101
433.8889,0.40111
433.889,0.40108
433.8891,0.40104
433.8892,0.40106
433.8893,0.40104
433.8894,0.40108
433.8895,0.40098
433.8896,0.40108
433.8897,0.40106
433.8898,0.40106
433.8899,0.40112
433.89,0.40102
433.8901,0.40108
433.8902,0.40106
433.8903,0.40103
433.8904,0.40101
433.8905,0.40102
433.8906,0.40104
433.8907,0.40105
433.8908,0.40094
433.8909,0.40101
433.891,0.40097
433.8911,0.40107
433.8912,0.40107
433.8913,0.40103
433.8914,0.40104
433.8915,0.40104
433.8916,0.40109
433.8917,0.40104
433.8918,0.40099
433.8919,0.40108
433.892,0.40103
433.8921,0.40105
433.8922,0.40105
433.8923,0.40102
433.8924,0.40103
433.8925,0.40098
433.8926,0.401
433.8927,0.40101
433.8928,0.40104
433.8929,0.40098
433.893,0.401
433.8931,0.40097
433.8932,0.40107
433.8933,0.40102
433.8934,0.40104
433.8935,0.40108
433.8936,0.40103
433.8937,0.401
433.8938,0.40106
433.8939,0.40097
433.894,0.40107
433.8941,0.40102
433.8942,0.401
433.8943,0.4011
433.8944,0.40105
433.8945,0.40103
433.8946,0.40099
433.8947,0.40102
433.8948,0.40103
433.8949,0.40097
433.895,0.40102
433.8951,0.40097
433.8952,0.40098
433.8953,0.401
433.8954,0.40107
433.8955,0.401
433.8956,0.40107
433.8957,0.40104
433.8958,0.40103
433.8959,0.40102
433.896,0.40103
433.8961,0.40106
433.8962,0.40099
433.8963,0.40103
433.8964,0.40105
433.8965,0.40106
433.8966,0.40102
433.8967,0.40103
433.8968,0.40103
433.8969,0.4011
433.897,0.401
433.8971,0.40104
433.8972,0.40093
433.8973,0.40104
433.8974,0.40104
433.8975,0.40107
433.8976,0.40102
433.8977,0.40111
433.8978,0.40107
433.8979,0.40104
433.898,0.40112
433.8981,0.40104
433.8982,0.40108
433.8983,0.40103
433.8984,0.40097
433.8985,0.40109
433.8986,0.40102
433.8987,0.40104
433.8988,0.40103
433.8989,0.40104
433.899,0.401
433.8991,0.40102
433.8992,0.40104
433.8993,0.40102
433.8994,0.40108
433.8995,0.40104
433.8996,0.40109
433.8997,0.40101
433.8998,0.40102
433.8999,0.40107
433.9,0.40104
433.9001,0.40102
433.9002,0.40107
433.9003,0.401
433.9004,0.40111
433.9005,0.40103
433.9006,0.40107
433.9007,0.40102
433.9008,0.40102
433.9009,0.40102
433.901,0.40098
433.9011,0.40108
433.9012,0.40106
433.9013,0.40105
433.9014,0.40105
433.9015,0.40105
433.9016,0.40107
433.9017,0.40106
433.9018,0.40099
433.9019,0.40107
433.902,0.40101
433.9021,0.40101
433.9022,0.40099
433.9023,0.40101
433.9024,0.40112
433.9025,0.40103
433.9026,0.40099
433.9027,0.40102
433.9028,0.40106
433.9029,0.40104
433.903,0.40111
433.9031,0.40113
433.9032,0.40106
433.9033,0.40103
433.9034,0.40105
433.9035,0.40104
433.9036,0.40108
433.9037,0.40101
433.9038,0.40103
433.9039,0.40106
433.904,0.40102
433.9041,0.401
433.9042,0.40104
433.9043,0.40104
433.9044,0.40108
433.9045,0.40109
433.9046,0.40104
433.9047,0.4011
433.9048,0.40103
433.9049,0.40102
433.905,0.40108
433.9051,0.40105
433.9052,0.40113
433.9053,0.401
433.9054,0.40102
433.9055,0.40101
433.9056,0.40114
433.9057,0.40101
433.9058,0.40103
433.9059,0.40108
